Name,Price,Image URL,Website Link
Pams Value Trim Milk,4.40,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5201486.png?w=384,https://www.paknsave.co.nz/shop/product/5201486_ea_000pns?name=pams-value-trim-milk
Special Blend Granulated Instant Coffee,1.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5012874.png?w=384,https://www.paknsave.co.nz/shop/product/5012874_ea_000pns?name=special-blend-granulated-instant-coffee
Simply Milk Standard Milk,4.85,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5266784.png?w=384,https://www.paknsave.co.nz/shop/product/5266784_ea_000pns?name=simply-milk-standard-milk
Pams Tasty Cheddar Cheese,11.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5268696.png?w=384,https://www.paknsave.co.nz/shop/product/5268696_ea_000pns?name=pams-tasty-cheddar-cheese
Anchor Pure Cream,3.13,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5000526.png?w=384,https://www.paknsave.co.nz/shop/product/5000526_ea_000pns?name=anchor-pure-cream
Ploughmans Bakery Farmhouse Wholemeal Bread,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5011075.png?w=384,https://www.paknsave.co.nz/shop/product/5011075_ea_000pns?name=ploughmans-bakery-farmhouse-wholemeal-bread
Green Courgettes,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039970.png?w=384,https://www.paknsave.co.nz/shop/product/5039970_kgm_000pns?name=-green-courgettes
Maggi Onion Soup Mix,0.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5009708.png?w=384,https://www.paknsave.co.nz/shop/product/5009708_ea_000pns?name=maggi-onion-soup-mix
Oreo Original Cookies,1.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5088910.png?w=384,https://www.paknsave.co.nz/shop/product/5088910_ea_000pns?name=oreo-original-cookies
Sunburst Classic Tomatoes.,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5259530.png?w=384,https://www.paknsave.co.nz/shop/product/5259530_ea_000pns?name=sunburst-classic-tomatoes.
Olivani Olive Oil Spread,4.97,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5003157.png?w=384,https://www.paknsave.co.nz/shop/product/5003157_ea_000pns?name=olivani-olive-oil-spread
Freya's Roggenbrot Dark Rye Bread,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013566.png?w=384,https://www.paknsave.co.nz/shop/product/5013566_ea_000pns?name=freya%27s-roggenbrot-dark-rye-bread
Sealord Sweet Thai Chilli Tuna,1.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5016928.png?w=384,https://www.paknsave.co.nz/shop/product/5016928_ea_000pns?name=sealord-sweet-thai-chilli-tuna
Pams 2Ply Facial Tissues,5..00,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5294818.png?w=384,https://www.paknsave.co.nz/shop/product/5294818_ea_000pns?name=pams-2ply-facial-tissues
Pams 3 Ply White Long Roll Toilet Tissues,6.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5211107.png?w=384,https://www.paknsave.co.nz/shop/product/5211107_ea_000pns?name=pams-3-ply-white-long-roll-toilet-tissues
Woodland Free Range Size 7 Eggs,9.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5023573.png?w=384,https://www.paknsave.co.nz/shop/product/5023573_ea_000pns?name=woodland-free-range-size-7-eggs
North's Multigrain Toast Sliced Bread,1.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5015314.png?w=384,https://www.paknsave.co.nz/shop/product/5015314_ea_000pns?name=north%27s-multigrain-toast-sliced-bread
Wattie's Baked Beans In Tomato Sauce,1.89,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5001949.png?w=384,https://www.paknsave.co.nz/shop/product/5001949_ea_000pns?name=wattie%27s-baked-beans-in-tomato-sauce
Pams Plant Based Regular Soy Milk,2.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5003852.png?w=384,https://www.paknsave.co.nz/shop/product/5003852_ea_000pns?name=pams-plant-based-regular-soy-milk
Meadow Fresh Traditional Cream Cheese,4.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5030846.png?w=384,https://www.paknsave.co.nz/shop/product/5030846_ea_000pns?name=meadow-fresh-traditional-cream-cheese
Pams Fresh Cherry Tomatoes,2.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039973.png?w=384,https://www.paknsave.co.nz/shop/product/5039973_ea_000pns?name=pams-fresh-cherry-tomatoes
Sorbent Silky White Long Roll 3 Ply Toilet Rolls,7.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5019669.png?w=384,https://www.paknsave.co.nz/shop/product/5019669_ea_000pns?name=sorbent-silky-white-long-roll-3-ply-toilet-rolls
Special Blend Instant Coffee,1.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010068.png?w=384,https://www.paknsave.co.nz/shop/product/5010068_ea_000pns?name=special-blend-instant-coffee
Bluebird Thinly Cut Chicken Potato Chips,5..00,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5034757.png?w=384,https://www.paknsave.co.nz/shop/product/5034757_ea_000pns?name=bluebird-thinly-cut-chicken-potato-chips
NZ Pork Shoulder Chops,9.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5103018.png?w=384,https://www.paknsave.co.nz/shop/product/5103018_kgm_000pns?name=-nz-pork-shoulder-chops
Vogel's Original Mixed Grain Very Thin Bread,4.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013204.png?w=384,https://www.paknsave.co.nz/shop/product/5013204_ea_000pns?name=vogel%27s-original-mixed-grain-very-thin-bread
