Name,Price,Image URL
Ploughmans Bakery Soy & Canterbury Linseed Bread,4.39,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5011078.png?w=384
Maggi Onion Soup Mix,1.59,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5009708.png?w=384
Coca-Cola Soft Drink,5.29,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5001903.png?w=384
Pams Value Chopped Tomatoes in Juice,0.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5092718.png?w=384
Chicken Nibbles,12.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5100208.png?w=384
Green Kiwifruit,10.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5039976.png?w=384
Otaika Valley Premium Free Range Size 7 Eggs,11.79,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5202411.png?w=384
Pams Baby Leaf Lettuce,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040462.png?w=384
Cauliflower Half,3.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046507.png?w=384
Yellow Flesh Nectarines,6.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046582.png?w=384
Red Truss Tomatoes,4.49,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040099.png?w=384
Ploughmans Bakery Farmhouse Wholemeal Bread,4.39,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5011075.png?w=384
Freya's Roggenbrot Dark Rye Bread,4.19,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5013566.png?w=384
Bluebird Originals Sour Cream & Chives Potato Chips,1..99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5010720.png?w=384
Whittaker's Creamy Milk 33% Cocoa Milk Chocolate Block,7.69,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5009651.png?w=384
Pams Cream,8.75,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5028855.png?w=384
Packham Pears,3.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5040014.png?w=384
Bluebird Thinly Cut Ready Salted Potato Chips,1..99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5034758.png?w=384
Anchor Blue Milk,8.09,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5016750.png?w=384
Olivani Olive Oil Spread,5..39,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5003157.png?w=384
Beef Scotch Fillet Steak,36.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5102637.png?w=384
Seedless Red Grapes,9.99,https://a.fsimg.co.nz/product/retail/fan/image/400x400/5046454.png?w=384
